Title,Enlace,Emails,Web
"OportunidadesMx","https://www.facebook.com/OportunidadesMx-380882775106054/","false","false"
"Reclutamiento Grupo Pasquini","https://www.facebook.com/100083285773463/","empleo.pasquini@gmail.com","cafepasquini.com"
"CacharritoRiviera2","https://www.facebook.com/CacharritoRiviera/","factjjaimeg@outlook.es","twitter.com/ElRebenquito"
"Manifesto","https://www.facebook.com/ManifestoLearn/","hey@manifesto.design","manifesto.design"
"Dr KARIM MAKI","https://www.facebook.com/100095093983847/","Drkarim11@hotmail.com","false"
"Orquídeas Axitla","https://www.facebook.com/orquideasaxitla/","contacto@orquideasaxitla.com","orquideasaxitla.com"
"Reclutamiento ","https://www.facebook.com/61565875478813/","false","false"
"Bolsa de Empleo Pto. Vallarta","https://www.facebook.com/61560358584031/","jazmincornejooo@gmail.com","false"
"bolsa de trabajo masiva Vera","https://www.facebook.com/61560982628245/","false","false"
"The Care Sense","https://www.facebook.com/thecaresense/","info@thecaresense.com","thecaresense.com"
"Reclutamiento Chedraui Chacmool ","https://www.facebook.com/100089886500891/","false","false"
"Conexión Pacifico Empleo Gdl","https://www.facebook.com/61560034683981/","false","conexion-pacifico.com"
"Parker Apodaca - Reclutamiento ","https://www.facebook.com/61554294561394/","false","false"
"Dr. Vicc Garcia","https://www.facebook.com/elpayasodelasventas/","elpayasodelasventas@gmail.com","elpayasodelasventas.com"
"Alpunto Restaurante & Lounge Bar","https://www.facebook.com/AlpuntoLoungeBar/","alpunto@ggt.com.mx","tomasinn.com"
"Latinoamericana RH","https://www.facebook.com/Latinoamericana.RH/","reclutamiento.gdl@pabsmr.org","pabsmr.org"
"Talento del Bueno","https://www.facebook.com/talentodelbueno/","argentina.lopez@buenoconsultores.com","buenoconsultores.com"
"Bolsa de Empleo México","https://www.facebook.com/SKRHEmpleos/","reclutamiento@skuadrarh.com","skuadrarh.com"
"Reclutamiento Crediautos CDMX","https://www.facebook.com/61564273397761/","false","false"
"Jael Hernández Reclutamiento ","https://www.facebook.com/100089733495005/","false","false"
"Tecnocasa Vértiz Narvarte","https://www.facebook.com/tecnocasavertiz/","vertiznarvarte@tecnocasa.mx","tecnocasa.mx"
